Myanmar	Type	English
အမ်ိဳးအရင္းအခ်ာျဖစ္ေသာ	near	adj
လုနီးပါး	near	adj
နီးနီး	near	adv
နီးကပ္လ်က္	near	adv
အနီးတြင္	near	prep
ခါနီးၿပီး	near	v
ပြတ္ကာသီကာ လြဲျခင္း	near miss	n
ကပ္လြဲျခင္း	near miss	n
a near miss by two aircraft over southern England . ပစ္မွတ္ႏွင့္ သီသီလြဲသည့္ ဗံုး သို႕ က်ည္	near miss	n
အနီးတြင္	near to	prep
အနီးနားမွာ	near to	prep
လုနီးပါး	near to	prep
ေလာက္နီးနီး	near to	prep
ရင္းႏီွးသည္	near to	prep
နီးနီးကပ္ကပ္	near to	prep
ခါနီး	near to	prep
လုနီး	near to	prep
ေတာ့မလို	near to	prep
ထက္ပိုနီးသည္	near to	prep
နီးေတာ့မွ	near to	prep
နီးနီး	near to	prep
အနီးအနား	nearby	adj
အနီးအနား၌ ရိွေသာ	nearby	adj
adv အနီးအနား၌	nearby	adj
They live nearby.	nearby	adj
ပို၍နီး	nearer	adj[com]
အနီးဆံုး	nearest	adj[sup]
မကြာ	nearest to	prep
This colour is neraest to the original. John is  nearest  me in age .	nearest to	prep
လုနီးပါး	nearly	adv
လက္ဝဲ ကပ္ေမာင္းလမ္း ဘယ္ဘက္	nearside	n
သပ္ရပ္ေသာ	neat	adj
ေသသပ္ေသာ	neat	adj
သပ္သပ္ရပ္ရပ္လုပ္တတ္ေသာ သူ	neat	adj
မေရမရာ	neatly	adv
ညအခါေကာင္းကင္၌ အလင္းေရာင္ျပျပ ျမင္ရေသာ အာကာသ ဟင္းလင္းျပင္	nebula	n
ဝိုးတဝါးျဖစ္ေသာ	nebulous	adj
မျပတ္သားေသာ	nebulous	adj
လိုအပ္ေသာ အရာမ်ား	necessaries	n
ေသခ်ာေပါက္	necessarily	adv
လိုအပ္ေသာ	necessary	adj
မလြဲမေရွာင္သာေသာ	necessary	adj
လိုအပ္လာသည္	necessitate	v
လိုအပ္ျခင္း	necessity	n
လိုအပ္မႈ	necessity	n
မရိွမျဖစ္လိုအပ္ခ်က္	necessity	n
လည္ပင္း	neck	n
လည္တိုင္	neck	n
လည္ပင္းေကာ္လာ	neck	n
တိရိစာၦန္  လည္ပင္းသား	neck	n
အရာဝတၳဳလည္ပင္း	neck	n
v infml လည္ခ်င္းယွက္သည္	neck	n
နမ္းသည္	neck	n
The tow of them were necking on a park of bench.	neck	n
ျမင္းပြဲ ၊ ၿပိဳင္ပြဲ စသည္တို႕၌  သူမသာကိုယ္မသာ	neck and neck (with sb/ sth)	IDM
အႀကိတ္အနယ္	neck and neck (with sb/ sth)	IDM
မထင္မွတ္ေသာေနရာ	neck of the woods	idm(infml)
လည္ပတ္ ပုဝါငယ္	neckerchief	n
လည္ပတ္ ပုဝါငယ္မ်ား	neckerchiefs	n[pl]
လည္ပတ္ ပုဝါငယ္မ်ား	neckerchieves	n[pl]
လည္ဆြဲ	necklace	n
ဆြဲႀကိဳးမ်ား	necklaces	n[pl]
လည္အဟိုက္	neckline	n
လည္ပင္းမ်ား	necks	n[pl]
date or US = TIE	necktie	n
လည္စီးမ်ား	neckties	n[pl]
ေအာက္လမ္းဆရာ	necromancer	n
ေအာက္လမ္းပညာ	necromancy	n
ေရွးသခၤ်ိူင္းႀကီး	necropolis	n
ဝတ္ရည္	nectar	n
မက္မြန္တစ္မ်ိဳး	nectarine	n
အိမ္ေထာင္က်ၿပီး အမ်ိဳးသမီးေနာက္က ဖခင္မ်ိဳးရိုးအမည္ကိုေဖာ္ျပရာတြင္ သံုးေသာစကားလံုး	nee	adj
if ,whether , hardly, scarcely, no one စသည္ေနာက္မွ မရိွမဟုတ္ အဓိပၸါယ္ေဆာင္သည့္ ဝါက်မ်ားေမးခြန္းမ်ား၌သံုးသည္	need	v
လိုအပ္သည္	need	v
ဝတၱရာအရလိုအပ္သည္	need	v
လိုအပ္မု	need	n
လိုအပ္	need modal	v
လိုအပ္မု	need modal	n
လိုအပ္ေသာ	needfull	adj
ခ်ဳပ္အပ္	needle	n
ဇာထိုးအပ္	needle	n
အိမ္ေျမွာင္စက္ကိရိယာစသည္တို႕ရိွ  လက္တံ	needle	n
ေဆးထိုးအပ္	needle	n
အပ္ကဲ့သို႕ ခၽြန္ေသာအရာ	needle	n
ဓာတ္စက္အပ္	needle	n
infml ေဒါသ သို႕ ရန္ေစာင္ျခင္း	needle	n
စကားျဖင့္ ဆြေပးသည္ ၊ကလိသည္	needle	n
ရွာရခက္သူ ၊ အရာ  ေကာက္ရိုးပံုထဲအပ္	needle in a haystack	IDM
ခ်ဳပ္အပ္မ်ား	needles	n[pl]
မလိုအပ္ေသာ	needless	adj
ေျပာစရာမလို ၊ သိၿပီးသားပဲ	needless to say	IDM
အခ်ဳပ္လုပ္သမ	needlewoman	n
အခ်ဳပ္အလုပ္	needlework	n
ဇာထိုးပန္းထိုး	needlework	n
လိုအပ္	needs	v
ဆင္းရေသာ	needy	adj
ခ်ိဳ႕တဲ့ေသာ	needy	adj
တမာပင္	neem tree	n
ယုတ္မာေသာ	nefairous	adj
ယုတ္ညံ့ေသာ	nefairous	adj
NEGATIVE	neg	abbr
အခ်ည္းႏီွး ျဖစ္ေစသည္	negate	v
ျငင္းဆိုသည္	negate	v
ဆန္႕က်င္ျခင္း	negation	n
ျငင္းပယ္ေသာ	negative	adj
ဆန္႕က်င္ေသာ	negative	adj
အပ်က္သေဘာေဆာင္ေသာ	negative	adj
အန ၱရာယ္ျဖစ္ေစေသာ	negative	adj
ဓာတ္ခြဲစမ္းသပ္ၾကည့္ရန္ မဟုတ္ ၊၊ မရိွ	negative	adj
သုညေအာက္ျဖစ္ေသာ	negative	adj
အနႈတ္လကၡဏာပါေသာ	negative	adj
လွ်ပ္စစ္အမဓာတ္	negative	adj
ျငင္းဆိုျခင္းျပစကား	negative	adj
ဖလင္နက္ဂတစ္	negative	adj
ဆန္႕က်င္ေသာ သေဘာထား	negativity	n
အပ်က္သေဘာ	negativity	n
လစ္လွ်ဴရႈ႕သည္	neglect	v
ပစ္ထားသည္	neglect	v
ေမ့ေလ်ာ့ပ်က္ကြက္သည္	neglect	v
n လစ္လ်ဴရႈ႕မႈ	neglect	v
ဥေကၡာျပဳမႈ	neglect	v
ပစ္ထားျခင္း	neglect	v
ပ်က္ကြက္ျခင္း	neglect	v
လ်စ္လ်ဴရုမု	neglect	n
ဂရုမစိုက္ဘဲ ထားေသာ	neglected	adj
ပစ္ထားေသာ	neglected	adj
လ်စ္လ်ဴရုခဲ့	neglected	v[pt]
လ်စ္လ်ဴရုခဲ့ၿပီး	neglected	v[pp]
လ်စ္လ်ဴရုေန	neglecting	v[ing]
လ်စ္လ်ဴရုမႈမ်ား	neglects	n[pl]
ေပါ့၍ပါးေသာ အမ်ိဳးသမီး ညအိပ္ဝတ္ရံု	neglig'ee	n
ေပါ့ဆမႈ	negligence	n
ေပါ့ဆေသာ	negligent	adj
ဂရုမစိုက္ေသာ	negligent	adj
မေျပာပေလာက္ေသာ	negligible	adj
ညိွနိႈင္းႏိုင္ေသာ	negotiable	adj
ခ်က္စသည္ေငြသားျဖင့္ လဲလွယ္ထုတ္ယူႏိုင္ေသာ	negotiable	adj
အျခားသူထံလြေျပာင္းေပးႏိုင္ေသာ	negotiable	adj
ျဖတ္သန္း သြားလာႏိုင္ေသာ	negotiable	adj
with sb for/ about sth ေစ့စပ္ေဆြးေႏြးသည္	negotiate	v
ညိွနိႈင္းသည္	negotiate	v
ေဆြးေႏြးညိွနိႈင္းသည္	negotiate	v
အတားအဆီးအၾကပ္အတည္းကို ေက်ာ္လႊားသည္	negotiate	v
ေစ့စပ္ေဆြးေႏြးခဲ့	negotiated	v[pt]
ေစ့စပ္ေဆြးေႏြးခဲ့ၿပီး	negotiated	v[pp]
ေစ့စပ္ ေဆြးေႏြးျခင္း	negotiation	n
ေဆြးေႏြးပြဲ	negotiation	n
ေစ့စပ္ေဆြးေႏြးျခင္းမ်ား	negotiations	n[pl]
ေစ့စပ္ ေဆြးေႏြးပြဲ အဖြဲ႕ဝင္လူႀကီး	negotiator	n
နီဂရိုးမ	Negress	n
ကပၸလီမ	Negress	n
ကပၸလီ	Negro	n
နီဂရိုးလူမ်ိဳး	Negro	n
နီဂရိုး ရုပ္လကၡဏာပါေသာ	Negroid	adj
ျမင္း ဟီသည္	neigh	v
n ဟီသံ	neigh	v
အိမ္နီးနားခ်င္း	neighbour	n
အိမ္နီးခ်င္းႏိုင္ငံ	neighbour	n
တစ္ပါးသူ	neighbour	n
ဝန္းက်င္ ေဒသ ၊ ရပ္ကြက္	neighbourhood	n
ယင္း၌ေနသူမ်ား	neighbourhood	n
အိမ္နီးခ်င္း အခ်င္းခ်င္း ရိုင္းပင္းေစာင့္ေရွာက္မႈ စနစ္	neighbourhood watch	n
အိမ္နီးနားတစ္ဝိုက္မ်ား	neighbourhoods	n[pl]
အိမ္နီးခ်င္း	neighbouring	adj
အနီးအပါး	neighbouring	adj
ရြာနီးခ်ဳပ္စပ္	neighbouring	adj
ရိုင္းပင္း ခင္မင္တတ္ေသာ	neighbourly	adj
အိမ္နားနီးခ်င္းေကာင္းစိတ္ဓာတ္	neighbourly	adj
အိမ္နီးနားခ်င္းမ်ား	neighbours	n[pl]
ႏွစ္ဦး ၊ ႏွစ္ခု အနက္ တစ္ဦး ၊ တစ္ခုမွ်  သို႕  ဘယ္သူ ၊ ဘယ္ဟာမွ်  မဟုတ္ ၊ မႀကိဳက္ ၊ မသိ စသည္  [ေသာ]	neither	indef pron
ဘယ္သူ ကို ၊ က  မွ်	neither	indef pron
ဘယ္ဟာ ကို ၊ က မွ်	neither	indef pron
တစ္ဦး၊ ဘယ္သူ	neither	adv
အစအနမွ်	neither hide nor hair of sb/ sth	idm
ေျပးမလြတ္ေသာ အကုသိုလ္ ဝိပါက္	nemesis	n
အသစ္	neo-	comb form
လက္သစ္	neo-	comb form
ေရာမႏွင့္ ဂရေရွးေဟာင္း ဂန ၱဝင္ပံုစံကို အေျခခံေသာ အႏုပညာလက္ရာ	neoclassical	adj
ကိုလိုနီလက္သစ္ဝါဒ	neocolonialism	n
ေက်ာက္ေခတ္ေႏွာင္းပိုင္း က်ေသာ	neolithic	adj
ေက်ာက္ေခတ္သစ္	neolithic	adj
ေဝါဟာရသစ္	neologism	n
နီယြန္ဓာတ္ေငြ႕	neon	n
ေမြးကင္းစ	neonatal	adj
တူ	nephew	n
တူမ်ား	nephews	n[pl]
ေဆြမ်ိဳးေကာင္းစားေရးဝါဒ	nepotism	n
နက္ပကၽြန္းၿဂိဳဟ္	Neptune	n
အာရံုေၾကာ	nerve	n
ထိတ္လန္႕တုန္လႈပ္ျခင္း	nerve	n
သတၱိ	nerve	n
ဝံ့စားျခင္း	nerve	n
ရဲတင္းျခင္း	nerve	n
စိတ္တင္းသည္	nerve	n
သတၱေမြးသည္	nerve	n
စစ္သံုး အာရံုေၾကာ ထိခိုက္ေစသည့္ အဆိပ္ ဓာတ္ေငြ႕	nerve gas	n
အာရံုေၾကာလံႈ႕ေဆာ္မႈ ျဖစ္ေစသည့္ ကလာပ္စည္း	nerve-cell	n
နဗ္ေၾကာဆဲလ္	nerve-cell	n
ႀကိဳးကိုင္ရာ ဗဟိုဌာန	nerve-centre	n
ရင္တုန္ပန္းတုန္ျဖစ္စရာ	nerve-racking	adj
ခြန္အားမရိွေသာ	nerveless	adj
အလြန္ရဲရင့္ေသာ	nerveless	adj
အာရံုေၾကာမ်ား	nerves	n[pl]
ေၾကာက္ေသာ	nervous	adj
ရြံ႕ေသာ	nervous	adj
ထိတ္ေသာ	nervous	adj
ရင္ဖိုေသာ	nervous	adj
စိတ္လႈပ္ရွား ေသာ	nervous	adj
ေၾကာက္ေၾကာက္ရြံ႕ရြံ႕ႏွင့္ျဖစ္ေသာ	nervous	adj
အာရံုေၾကာ ႏွင့္ဆိုင္ေသာ	nervous	adj
စိတ္ပင္ပန္းလြန္ေဝဒနာ	nervous breakdown	n
အာရံုေၾကာဖြဲ႕စည္းမႈစနစ္	nervous system	n
အာရံုေၾကာ	nervously	adv
စိုးရိမ္ပူ ပန္တတ္ေသာ	nervy	adj
ေတြးေၾကာက္တတ္ေသာ	nervy	adj
ရဲတင္းေသာ	nervy	adj
ပညာဉာဏ္မရိွေသာ၊ မသိရိွနိုင္ေသာ	nescient	adj
ငွက္ အသိုက္	nest	n
အံု	nest	n
ပုန္းခိုရာ	nest	n
အစံုလိုက္ထပ္ထားေသာ အရာ	nest	n
vအသိုက္ဖြဲ႕သည္	nest	n
အသိုက္ဖြဲ႕	nest	v
ေနာင္ေရးအတြက္ စုေဆာင္းေငြ	nest egg	n
အိုစာမင္းစာ	nest egg	n
ေႏြးေႏြးေထြးေထြး ဝင္ေကြးသည္၊ ဝင္ေခြသည္	nestle	v
ေထြးပိုက္သည္	nestle	v
လံုၿခံဳစြာ တည္ရိွသည္	nestle	v
တိုးေဝွ႕ပူးကပ္သည္	nestle	v
ဦးေခါင္း ကို မီွသည္၊ တင္သည္	nestle	v
မပ်ံႏိုင္ေသးေသာ ငွက္ေပါက္စ	nestling	n
ငွက္ငယ္ကေလးမ်ား	nestlings	n[pl]
အသိုက္မ်ား	nests	n[pl]
ပိုက္	net	n
ကြန္	net	n
ဇာေပါက္ခန္းဆီး	net	n
ပိုက္	net	n
ျခင္ေထာင္	net	n
ဖမ္းမိသည္	net	v
အပင္ စသည္ကို ပိုက္ျဖင့္ အုပ္ထားသည္	net	v
ဂိုးသြင္းသည္	net	v
ေငြအသားတင္	net	adj
တစ္ခြန္း ေဈး	net	adj
ေရာင္း ေဈး	net	adj
အေလးခ်ိန္ အသားတင္	net	adj
ေနာက္ဆံုး	net	adj
အသားတင္ျမတ္သည္	net	adj
ဘတ္စကက္ေဘာႏွင့္ဆင္ေသာ တစ္ဖက္ ၇ေယာက္စီ ကစားရသည့္ကစားနည္း	netball	n
ေအာက္	nether	adj
ေအာက္ပိုင္း	nether	adj
ဖမ္းခဲ့	netted	v[pt]
ကြန္ရက္ထည္	netting	n
ကြန္ကြက္	netting	n
သံဆန္ခါကြက္	netting	n
ဖက္ယားပင္	nettle	n
v ဆြေပးသည္	nettle	n
ကလိသည္	nettle	n
ေခြးေလွးယားပင္မ်ား	nettles	n[pl]
ကြန္ခ်ာ	network	n
ကြန္ရက္	network	n
အစီအစဉ္တစ္မ်ိဳးတည္း တစ္ၿပိဳင္နက္ လႊင့္ရန္ အသံလႊင့္ကြန္ရက္	network	n
ကြန္ပ်ဴတာကြန္ရက္	network	n
ကြန္ပ်ဴတာ ကြန္ရက္ ခ်ိတ္ဆက္ ထားေသာ	networked	adj
အသံလႊင့္ ကြန္ရက္ ခ်ိတ္ဆက္ထားေသာ	networked	adj
ကြန္ပ်ဴတာကြန္ရက္ ခ်ိတ္ဆက္ ျခင္း	networking	n
အေရာင္းကိုယ္စားလွယ္မ်ားကို ေကာ္မရွင္ေပး၍ ပစၥည္းျဖန္႕ျဖဴးေသာစနစ္	networking	n
မ်ိဳးတူလုပ္ငန္း လုပ္ကိုင္သူခ်င္း ဆက္သြယ္ေရးစနစ္	networking	n
ကြန္ခ်ာမ်ား	networks	n[pl]
အာရံုေၾကာအနက္ရိွစကားလံုး	neur-	coidmb
အာရံုေၾကာႏွင့္ဆိုင္ေသာ	neural	adj
ေခါင္းပိုင္း အေၾကာတက္နာ	neuralgia	n
အာရံုေၾကာ ေရာင္နာ	neuritis	n
ဦးေႏွာက္ႏွင့္ အာရံုေၾကာ ပါရဂူ	neurologist	n
အာရံုေၾကာဆိုင္ရာ ေဆးပညာ	neurology	n
နဗ္ေဗဒ	neurology	n
စိတ္ဓာတ္က်ျခင္း၊ မူမမွန္ျခင္း ျဖစ္ေစေသာ စိတ္ေရာဂါ တစ္မ်ိဳး	neurosis	n
ဥပါဒါန္ဖိစီးမႈ	neurosis	n
စိတ္အနည္းငယ္ မူမမွန္ေသာ	neurotic	adj
ေၾကာင္ေသာ	neurotic	adj
ယင္းသို႕ျဖစ္ေနေသာသူ	neurotic	n
နပုလႅိင္	neuter	adj
အပင္၊ တိရစာၦန္ မ်ိဳးပြားႏိုင္သည့္ အခ်ိန္၊ အရြယ္ မေရာက္ေသးေသာ	neuter	adj
vသင္းကြပ္သည္	neuter	adj
ၾကားေနေသာသူ၊ ၾကားေနတိုင္းျပည္၊ မႏုလြန္း မရင့္လြန္းေသာ အေရာင္ စသည္	neutral	adj
ယာဉ္ ဂီယာကို မူလအေန၌ထားျခင္း	neutral	adj
ၾကားေနေရးဝါဒ	neutrality	n
အာနိသင္ ပ်က္ျပယ္ေစသည္၊ ေလ်ာ့ပါး ေစသည္	neutralize, -ise	v
န်ဴကလိယတြင္ ပါဝင္ေသာ လွ်ပ္စစ္ဓာတ္မဲ့ ျဒပ္မႈန္	neutron	n
န်ဴထရြန္	neutron	n
ဘယ္ေသာအခါမွ	never	adv
ဘယ္တုန္းကမွ	never	adv
အဲဒါလုပ္မလား	never	adv
ေဝးေသး	never	adv
လံုးဝ	never	adv
လံုးလံုး	never	adv
မဟုတ္ေရးခ်မဟုတ္	never	adv
မယံုေရးခ်မယံု	never	adv
အံ႕ဩျခင္း၊ မေက်နပ္ျခင္းကို ေဖာ္ျပေသာ စကား	never	adv
အံ႕ေရာ	never	adv
အံ႕ပါရဲ႕	never	adv
မပူပါနဲ႕	never mind	idm
ကိစၥမရိွပါဘူး	never mind	idm
အေၾကာင္းမဟုတ္ပါဘူး	never mind	idm
ေနပါေစ	never mind	idm
ေနေနသာသာ	never mind	idm
ဘာအေရးလဲထားလိုက္စမ္းပါ	never mind (about) (doing) sth	idm
ေမးမေနပါနဲ႕ေတာ့	never you mind	idm
မၿပီးႏိုင္ မဆံုးႏိုင္ေသာ	never- ending	adj
စိတ္ကူးယဉ္ကမာၻ	never- never land	n
မ်က္ေတာင္မခတ္ စိုက္ၾကည့္သည္	never/ not take one's eyes off sb/ sth	idm
မ်က္စေအာက္က အေပ်ာက္မခံ ၾကည့္သည္	never/ not take one's eyes off sb/ sth	idm
ဆင့္ကဲ ေအာင္ျမင္မႈ ရရိွသည္	never/not look back	idm
ေနာင္ဘယ္ေတာ့မွ	nevermore	adv
သို႕ပါလ်က္	nevertheless	adv
ေသာ္ျငားလည္း	nevertheless	adv
လင့္ကစား	nevertheless	adv
ေပမဲ့	nevertheless	adv
အသစ္	new	adj
အသစ္အသစ္ေသာ	new	adj
အသစ္အဆန္းျဖစ္ေသာ	new	adj
စိမ္းေနေသးေသာ	new	adj
မကၽြမ္းေသးေသာ	new	adj
မရင္းႏီွးေသးေသာ	new	adj
သစ္	new	adj
လတ္လတ္ဆတ္ဆတ္	new	adj
ပူပူေႏြးေႏြး	new	adj
ဆန္းသစ္ေသာ	new	adj
ေခတ္ေပၚ	new	adj
အစပ်ိဳးခါစျဖစ္ေသာ	new	adj
ဘဝသစ္	new	adj
ေမွ်ာ္လင့္ခ်က္ အသစ္	new	adj
စိတ္သစ္လူသစ္ ျဖစ္သြားေသာ	new	adj
အားသစ္ မာန္သစ္ရိွေသာ	new	adj
ေခတ္သစ္	New Age	adj
အထက္လူႀကီးအသစ္	new broom	n
အစီအစဉ္သစ္	new deal	n
ဆက္ဆံမႈစနစ္သစ္	new deal	n
လကြယ္	new moon	n
လကြယ္ခ်ိန္	new moon	n
ဆန္းစလ	new moon	n
လဆန္းစအခ်ိန္	new moon	n
လကြယ္ေန႕	New moon day	n
တိုးခ်ဲ့ၿမိဳ႕သစ္	new town	n
အႏုပညာ လိႈင္းသစ္	new wave	n
၁၉၇၀ေက်ာ္ကာလက ေခတ္စားခဲ့ေသာ ေရာ့ခ္ဂီတပံုစံ	new wave	n
ႏွစ္သစ္ႏွစ္ဆန္း	new year	n
ႏွစ္ဆန္း တစ္ရက္ေန႕	New Year's Day	n
ဇန္နဝါရီလ ၁ ရက္	New Year's Day	n
ဒီဇင္ဘာ ၃၁ရက္	New Year's Eve	n
ႏွစ္သစ္ကူး အႀကိဳေန႕	New Year's Eve	n
အသစ္၊ ပူပူေႏြးေႏြး အနက္ရိွေသာစကားလံုး	new-	(forming c
ေမြးကင္းစ	newborn	adj
လူစိမ္း	newcomer	n
လူသစ္	newcomer	n
မ်က္ႏွာစိမ္း	newcomer	n
မ်က္ႏွာသစ္	newcomer	n
ေလွကား လက္ရံုးတိုင္	newel	n
ပို၍သစ္	newer	adj[com]
အသစ္ဆံုး	newest	adj[sup]
ေခတ္ေပၚ ဆန္းဆန္း ျပားျပား	newfangled	adj
ေလာေလာလတ္လတ္	newly	adv
ပူပူေႏြးေႏြး	newly	adv
မၾကာခင္က	newly	adv
ခါစ	newly	adv
လက္ထပ္ၿပီးကာစ ဇနီးေမာင္ႏံွ	newly weds	n
မဂၤလာေဆာင္ၿပီးစ	newly-wed	n
သတင္း	news	n
ေရဒီယို၊ တီဗီ သတင္း	news	n
သတင္းအျဖစ္ေရးစရာ	news	n
သတင္းဌာန	news agency	n
သတင္းစု၍ ထိုသတင္းမ်ားကို သတင္းစာ၊ ေရဒီယို၊ တီဗီဌာနမ်ားသို႕ ေရာင္းသည့္ဌာနျဖစ္သည္	news agency	n
သတင္းခန္း	news room	n
မ်က္ႏွာနည္းနည္း၊ အရြယ္ေသးေသး သတင္းစာငယ္	news-sheet	n
စာနယ္ဇင္း အေရာင္းဆိုင္ရွင္	newsagent	n
ေရဒီယို၊ တီဗီ သတင္း	newscast	n
ေရဒီယို၊ တီဗီ သတင္းထုတ္လႊင့္သူ	newscaster	n
ေရဒီယို၊ တီဗီ ၾကားျဖတ္လႊင့္ေသာ အေရးႀကီးသတင္း	newsflash	n
သတင္းလႊာ	newsletter	n
သတင္းစာ	newspaper	n
သတင္းစာစာရြက္	newspaper	n
သတင္းစာဆရာ	newspaperman	n
သတင္းစာမ်ား	newspapers	n[pl]
သတင္းစာစကၠူ	newsprint	n
သတင္းကား	newsreel	n
သတင္းျဖစ္ေလာက္ ေသာ	newsworthy	adj
သတင္းဝင္	newsworthy	adj
စိတ္ဝင္စားဖြယ္ျဖစ္ေသာ	newsy	adj
သတင္းပလင္း စံုလင္ေသာ	newsy	adj
ေရပုတ္သင္ငယ္	newt	n
ေနာက္	next	adj
လာမည့္	next	adj
ေနာက္	next	adj
ထို႕ေနာက္	next	adj
ယင္းမတိုင္မီ ဆံုး	next	adj
အာေမၮိတ္စကား	next	adj
ေနာက္ေကာ	next	adj
ထို႕ေနာက္	next	adv
ေဘးအခန္း၊ အိမ္ စသည္က	next door	adv
ေဘးခ်င္း ကပ္က	next door	adv
adj ေဘးခ်င္းကပ္	next door	adv
လာမည့္လ	next month	n
ေဆြမ်ိဳး ရင္းခ်ာ	next of kin	n
ေဘး၌	next to	prep
အနားမွာ	next to	prep
ကပ္လ်က္	next to	prep
ၿပီးလွ်င္	next to	prep
နီးပါး	next to	prep
လာမည့္အပတ္	next week	n
ေနာက္ႏွစ္	next year	n
သည့္ေနာက္အေကာင္းဆံုး	next-best	adj
ဆက္စပ္မႈ	nexus	n
အေမရိကန္ျပည္ေထာင္စုတြင္	NFL	abbr
ၿဗိတိန္တြင္ NATIONAL HEALTH SERVICE: The NHS is under-funded. an NHS hospital .	NHS	abbr
ၿဗိတိန္တြင္NATIONAL INSURANCE: NI contributions. Northern Ireland.	NI	abbr
ကေလာင္သြား	nib	n
နစ္	nib	n
တစ္တိတစ္တိ ၊ နည္းနည္းခ်င္း ကိုက္ဝါးသည္	nibble	v
တစ္တိတစ္တိ စားသည္	nibble	v
ျဖည္းျဖည္းခ်င္း စဉ္းစားသည္	nibble	v
nတစ္တိတစ္တိကိုက္ဝါးျခင္း	nibble	v
his nibs IDM သူမ်ားထက္ ေခါင္းတစ္လံုးပိုျမင့္သူဟု ထင္သူ	nibs	n
ေကာင္းေသာ	nice	adj
ခ်ိဳသာေသာ	nice	adj
သာယာေသာ	nice	adj
အရသာရိွေသာ ~ to sb သေဘာေကာင္းေသာ	nice	adj
ေဖာ္ေရြေသာ	nice	adj
ironic ေငါ့သံျဖင့္ ေကာင္းလိုက္တဲ့	nice	adj
သိမ္ေမြ႕ေသာ	nice	adj
ေျဖာင့္မတ္ေသာ	nice	adj
အရသာရိွေသာ	nice	adj
ဇိမ္ရိွေသာ	nice	adj
နာမဝေသသန ႏွင့္ ႀကိယာဝေသသန ေရွ႕ ၌ သံုးသည္	nice and	IDM(infml
စိတ္ခ်မ္းသာစရာ	nice and	IDM(infml
မလိုတမာ သေဘာ ျဖင့္ သံုးသည္	nice work if you can get it	IDM
ရရင္ေတာ့ေကာင္းတာေပါ့	nice work if you can get it	IDM
သပ္သပ္ရပ္ရပ္	nicely	adv
ပိုင္ပိုင္ႏိုင္	nicely	adv
infml ေကာင္းစြာ	nicely	adv
အံကိုက္	nicely	adv
ခ်ိန္ကိုက္၍	nicely	adv
အတိအက်	nicety	n
အေသးစိတ္	nicety	n
တိက်ေသခ်ာျခင္း	nicety	n
ကြက္တိမွန္ေအာင္	nicety	n
နံရံကလိုင္ေပါက္	niche	n
ေနရာေကာင္း	niche	n
စီးပြားေရး အခြင့္အလမ္း	niche	n
ေပါက္ပြားရွင္သန္ႏိုင္မႈ အေျခအေန	niche	n
Brit sl အက်ဉ္းေထာင္ သို႕ အခ်ဳပ္	nick	n
ဓားထိသည္	nick	v
ရွသြားသည္	nick	v
နီကယ္ ျဒပ္စင္	nickle	n
nickel-plated steel wire . အေမရိကန္ ႏွင့္ ကေနဒါႏိုင္ငံ၌  ငါးဆင့္ ပိုက္ဆံျပား	nickle	n
ခ်စ္စႏိုးေခၚေသာ အမည္	nickname	n
ေျပာင္၍ ေခၚေသာ အမည္	nickname	n
v ခ်စ္စႏိုးမွည့္ေခၚသည္	nickname	n
အေျပာင္အပ်က္ေခၚသည္	nickname	n
ေဆးရြက္ႀကီးတြင္ပါေသာ ဥပါဒ္ျဖစ္ေစေသာ ဓာတ္	nicotine	n
နီကိုတင္း ဓာတ္	nicotine	n
တူမ	niece	n
တူမမ်ား	nieces	n[pl]
-ier,-iest infml ကၽြမ္းက်င္၍ ကြက္တိက်ေသာ	nifty	adj
လြယ္ကူအသံုးတည့္ေသာ ေခတ္ဆန္ေသာ	nifty	adj
ႏွေျမာေသာ	niggardly	adj
တြန္႕တိုေသာ	niggardly	adj
ကပ္စီးနည္းေသာ	niggardly	adj
လူမည္း	nigger	n
ကပၸလီ	nigger	n
ေရးႀကီးခြင္က်ယ္ လုပ္သည္	niggle	v
အေရးမပါေသာ	niggling	adj
အေသးအဖြဲ	niggling	adj
တစ္အံုေႏြးေႏြးျဖစ္စရာ	niggling	adj
စိတ္ထင့္စရာ	niggling	adj
နီးၿပီ	nigh	prep
နီးပါး	nigh	prep
သေလာက္	nigh	prep
ည	night	n
..ည	night	n
ေန႕ေရာညပါ	night and day/ day and night	IDM
တစ္ခ်ိန္လံုး	night and day/ day and night	IDM
ညပိုင္း ဧည့္ႀကိဳစာေရး	night clerk	n
အိပ္ရာဝင္ကေလး နႈတ္ဆက္စကား	night night	IDM
ဘဏ္ပိတ္ခ်ိန္၌ ေငြ ၊ ပစၥည္း ထည့္သိမ္းထားႏိုင္သည့္ ဘဏ္အျပင္နံရံရိွ အာမခံေတၱာ	night safe	n
ညေက်ာင္း	night- school	n
ဆတ္ဖလူးပန္း	night-jasmine	n
ညပြဲလမ္းသဘင္	night-life	n
ညလံုးေပါက္ အိပ္ခန္းမီးမိွန္	night-light	n
တစ္ညလံုး	night-long	adj/adv
ညလံုးေပါက္	night-long	adj/adv
ညအခ်ိန္	night-time	n
အကာလ ညအခါ	night-time	n
ညေစာင့္	night-watchman	n
ဒရဝမ္	night-watchman	n
အိပ္ရာဝင္ခါနီးေသာက္ေသာ အရက္	nightcap	n
